class,alpha,target_recall,feasible,threshold,test_recall,test_precision
Impacted,0.1,0.9,True,0.4012654721736908,0.8868778280542986,0.8711111111111111
Caries,0.1,0.9,False,,,
Periapical Lesion,0.1,0.9,False,,,
Deep Caries,0.1,0.9,False,,,
Impacted,0.2,0.8,True,0.6534625887870789,0.7918552036199095,0.9259259259259259
Caries,0.2,0.8,False,,,
Periapical Lesion,0.2,0.8,False,,,
Deep Caries,0.2,0.8,False,,,
Impacted,0.3,0.7,True,0.7201336622238159,0.5927601809954751,0.9357142857142857
Caries,0.3,0.7,False,,,
Periapical Lesion,0.3,0.7,False,,,
Deep Caries,0.3,0.7,False,,,
Impacted,0.5,0.5,True,0.7504040002822876,0.4796380090497738,0.9380530973451328
Caries,0.5,0.5,True,0.17335624992847443,0.5020080321285141,0.47110552763819097
Periapical Lesion,0.5,0.5,True,0.07394368201494217,0.4266666666666667,0.35555555555555557
Deep Caries,0.5,0.5,True,0.26352572441101074,0.5421052631578948,0.515
